Branch,Store_Name,Avg_Attach,Std_Dev
Delhi_Ncr,Delhi(Hauz Khas),0.6220000000000001,0.10779610382569493
Pune,Pune(Hadapsar),0.5860000000000001,0.14943225890014514
Pune,Pune(Kondhawa),0.414,0.13126309458488322
Delhi_Ncr,Delhi(Budh Vihar),0.39,0.11247221879201993
Delhi_Ncr,Delhi(Daryaganj),0.386,0.08384509526501835
Pune,Pune(Dange Chowk),0.368,0.34017642481512445
Thane,Bhiwandi Br,0.362,0.09628083921528727
Delhi_Ncr,Delhi(Narela),0.358,0.27068431797945003
Delhi_Ncr,Haryana(Mewla M.) Br,0.352,0.13405222862750174
Delhi_Ncr,Up(Greater Noida) Br,0.35,0.07516648189186453
